Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;33082;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
1;capitalizeFirstLetterLT;;123892;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
2;validParenthesesLT;;157696;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
3;leastCommonMultipleLN;;67811;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
4;countLettersLT;;73230;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
5;binarySearchLN;;145534;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
6;arrayAverageLN;;109251;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
7;commonCharsLT;;53232;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
8;countIntegerIntervalLT;;64187;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
9;palindromeLT;;57686;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
10;forwardBackwardLT;;84791;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
11;bubbleSortLN;;157936;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
12;primeLN;;77762;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
13;crossSumLN;;35337;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
14;squareRootLN;;62223;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
15;unrolledSortLT;;88478;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
16;binaryToDecimalLT;;121206;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
17;linearSearchLT;;38235;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
18;powerLN;;50495;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
19;containsSubstringLT;;223202;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
20;factorialLT;;27099;False;779e5d3b-19a0-4a8a-97d2-3d9df0166780
