Sequence;ID;Snippet;StartingTime;SnippetPath
0;0;WarmUp;95191733;WarmUp.jpg
1;1;arrayAverageMN;95231252;arrayAverageMN.jpg
2;2;unrolledSortMN;95286441;unrolledSortMN.jpg
3;3;countLettersMT;95357162;countLettersMT.jpg
4;4;factorialMN;95429772;factorialMN.jpg
5;5;countIntegerIntervalMT;95454716;countIntegerIntervalMT.jpg
6;6;linearSearchMT;95543157;linearSearchMT.jpg
7;7;primeMN;95575912;primeMN.jpg
8;8;validParenthesesMT;95626264;validParenthesesMT.jpg
9;9;crossSumMT;95770392;crossSumMT.jpg
10;10;forwardBackwardMT;95813657;forwardBackwardMT.jpg
11;11;containsSubstringMN;95902536;containsSubstringMN.jpg
12;12;palindromeMT;96000459;palindromeMT.jpg
13;13;commonCharsMN;96033394;commonCharsMN.jpg
14;14;capitalizeFirstLetterMT;96099406;capitalizeFirstLetterMT.jpg
15;15;binarySearchMN;96175820;binarySearchMN.jpg
16;16;binaryToDecimalMN;96224447;binaryToDecimalMN.jpg
17;17;bubbleSortMN;96318983;bubbleSortMN.jpg
18;18;leastCommonMultipleMT;96370604;leastCommonMultipleMT.jpg
19;19;powerMT;96406617;powerMT.jpg
20;20;squareRootMT;96439227;squareRootMT.jpg
