Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;20351;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
1;arrayAverageMN;;39884;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
2;unrolledSortMN;;46958;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
3;countLettersMT;;35073;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
4;factorialMN;;9617;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
5;countIntegerIntervalMT;;62347;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
6;linearSearchMT;;13986;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
7;primeMN;;38315;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
8;validParenthesesMT;;116624;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
9;crossSumMT;;31000;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
10;forwardBackwardMT;;52702;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
11;containsSubstringMN;;87439;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
12;palindromeMT;;20327;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
13;commonCharsMN;;34909;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
14;capitalizeFirstLetterMT;;59217;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
15;binarySearchMN;;37487;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
16;binaryToDecimalMN;;74927;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
17;bubbleSortMN;;39908;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
18;leastCommonMultipleMT;;23100;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
19;powerMT;;21302;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
20;squareRootMT;;48047;False;1f719d25-bbad-4d99-8ce4-84dae28cec82
