Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;31461;False;ca433995-88ff-43cc-9c55-14a075199cf7
1;unrolledSortMT;;120885;False;ca433995-88ff-43cc-9c55-14a075199cf7
2;countLettersMN;;44106;False;ca433995-88ff-43cc-9c55-14a075199cf7
3;bubbleSortMT;;79445;False;ca433995-88ff-43cc-9c55-14a075199cf7
4;linearSearchMN;;11388;False;ca433995-88ff-43cc-9c55-14a075199cf7
5;validParenthesesMT;;113774;False;ca433995-88ff-43cc-9c55-14a075199cf7
6;capitalizeFirstLetterMT;;66530;False;ca433995-88ff-43cc-9c55-14a075199cf7
7;crossSumMT;;48477;False;ca433995-88ff-43cc-9c55-14a075199cf7
8;primeMN;;76850;False;ca433995-88ff-43cc-9c55-14a075199cf7
9;squareRootMN;;98360;False;ca433995-88ff-43cc-9c55-14a075199cf7
10;forwardBackwardMN;;56237;False;ca433995-88ff-43cc-9c55-14a075199cf7
11;binarySearchMN;;81995;False;ca433995-88ff-43cc-9c55-14a075199cf7
12;leastCommonMultipleMN;;96636;False;ca433995-88ff-43cc-9c55-14a075199cf7
13;countIntegerIntervalMN;;34265;False;ca433995-88ff-43cc-9c55-14a075199cf7
14;palindromeMN;;41763;False;ca433995-88ff-43cc-9c55-14a075199cf7
15;commonCharsMT;;45129;False;ca433995-88ff-43cc-9c55-14a075199cf7
16;arrayAverageMT;;27295;False;ca433995-88ff-43cc-9c55-14a075199cf7
17;binaryToDecimalMN;;245180;False;ca433995-88ff-43cc-9c55-14a075199cf7
18;containsSubstringMN;;40255;False;ca433995-88ff-43cc-9c55-14a075199cf7
19;powerMN;;35156;False;ca433995-88ff-43cc-9c55-14a075199cf7
20;factorialMN;;20269;False;ca433995-88ff-43cc-9c55-14a075199cf7
