Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;65679;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
1;countIntegerIntervalMN;;175853;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
2;palindromeMN;;139280;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
3;leastCommonMultipleMT;;67130;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
4;validParenthesesMT;;95499;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
5;primeMN;;151886;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
6;squareRootMN;;128274;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
7;bubbleSortMT;;109422;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
8;linearSearchMT;;81397;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
9;powerMN;;77131;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
10;unrolledSortMN;;43516;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
11;binarySearchMT;;173046;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
12;countLettersMT;;108867;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
13;commonCharsMT;;92878;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
14;arrayAverageMT;;95860;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
15;forwardBackwardMN;;247523;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
16;containsSubstringMN;;1858;False;03dc81fa-df7b-4101-aa48-6a1cabb58ce9
