Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;61880;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
1;unrolledSortMT;;157611;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
2;countLettersMT;;78938;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
3;forwardBackwardMT;;220154;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
4;containsSubstringMT;;124093;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
5;squareRootMT;;82827;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
6;binaryToDecimalMT;;94079;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
7;arrayAverageMT;;69566;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
8;validParenthesesMN;;143739;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
9;factorialMT;;34446;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
10;primeMT;;91760;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
11;capitalizeFirstLetterMT;;106958;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
12;crossSumMN;;28466;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
13;palindromeMT;;70053;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
14;binarySearchMT;;223069;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
15;leastCommonMultipleMN;;98917;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
16;commonCharsMN;;37986;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
17;countIntegerIntervalMN;;63702;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
18;linearSearchMN;;46042;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
19;powerMT;;80911;False;c91e49ab-3eb2-470b-8a1a-e4d474d3c3ed
