Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;49323;False;14cdf899-d89b-4795-8956-494330715bcd
1;binarySearchLT;;104100;False;14cdf899-d89b-4795-8956-494330715bcd
2;factorialLN;;37981;False;14cdf899-d89b-4795-8956-494330715bcd
3;forwardBackwardLN;;94268;False;14cdf899-d89b-4795-8956-494330715bcd
4;validParenthesesLN;;104913;False;14cdf899-d89b-4795-8956-494330715bcd
5;powerLN;;37086;False;14cdf899-d89b-4795-8956-494330715bcd
6;countLettersLT;;106543;False;14cdf899-d89b-4795-8956-494330715bcd
7;squareRootLN;;89484;False;14cdf899-d89b-4795-8956-494330715bcd
8;bubbleSortLN;;97914;False;14cdf899-d89b-4795-8956-494330715bcd
9;unrolledSortLN;;181521;False;14cdf899-d89b-4795-8956-494330715bcd
10;linearSearchLN;;38365;False;14cdf899-d89b-4795-8956-494330715bcd
11;crossSumLT;;52912;False;14cdf899-d89b-4795-8956-494330715bcd
12;binaryToDecimalLN;;43759;False;14cdf899-d89b-4795-8956-494330715bcd
13;capitalizeFirstLetterLN;;102158;False;14cdf899-d89b-4795-8956-494330715bcd
14;countIntegerIntervalLT;;90110;False;14cdf899-d89b-4795-8956-494330715bcd
15;arrayAverageLT;;63233;False;14cdf899-d89b-4795-8956-494330715bcd
16;palindromeLN;;44215;False;14cdf899-d89b-4795-8956-494330715bcd
17;containsSubstringLT;;167581;False;14cdf899-d89b-4795-8956-494330715bcd
18;commonCharsLT;;42256;False;14cdf899-d89b-4795-8956-494330715bcd
19;leastCommonMultipleLN;;65943;False;14cdf899-d89b-4795-8956-494330715bcd
20;primeLN;;47008;False;14cdf899-d89b-4795-8956-494330715bcd
