Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;62584;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
1;containsSubstringMN;;97274;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
2;powerMN;;112457;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
3;leastCommonMultipleMN;;65959;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
4;unrolledSortMN;;95971;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
5;binaryToDecimalMN;;77436;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
6;primeMN;;49273;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
7;capitalizeFirstLetterMT;;136917;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
8;forwardBackwardMT;;100255;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
9;palindromeMN;;86587;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
10;countLettersMN;;48068;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
11;validParenthesesMN;;131926;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
12;countIntegerIntervalMT;;104524;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
13;linearSearchMT;;25901;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
14;arrayAverageMT;;79749;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
15;factorialMT;;37211;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
16;commonCharsMT;;52486;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
17;bubbleSortMT;;173251;False;f15e8ac2-fdde-4c2e-8927-59a9cbf23e7e
