Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;62309;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
1;countLettersLT;;127565;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
2;palindromeLN;;189520;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
3;unrolledSortLN;;34003;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
4;binaryToDecimalLN;;89793;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
5;forwardBackwardLN;;76295;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
6;primeLN;;60126;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
7;factorialLN;;9629;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
8;bubbleSortLN;;67687;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
9;arrayAverageLT;;38684;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
10;crossSumLT;;42136;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
11;powerLN;;13524;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
12;containsSubstringLT;;121626;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
13;linearSearchLN;;35379;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
14;commonCharsLT;;102591;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
15;capitalizeFirstLetterLN;;83694;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
16;validParenthesesLN;;102846;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
17;binarySearchLT;;177697;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
18;countIntegerIntervalLT;;103237;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
19;squareRootLN;;80037;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
20;leastCommonMultipleLN;;59421;False;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
