Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;50370;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
1;countLettersMN;;40925;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
2;palindromeMN;;73988;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
3;powerMT;;53538;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
4;leastCommonMultipleMN;;65360;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
5;forwardBackwardMT;;114151;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
6;linearSearchMT;;32473;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
7;bubbleSortMN;;89043;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
8;commonCharsMN;;53616;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
9;unrolledSortMT;;48181;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
10;capitalizeFirstLetterMN;;148263;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
11;validParenthesesMT;;156093;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
12;crossSumMT;;44657;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
13;factorialMN;;21319;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
14;squareRootMT;;196880;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
15;countIntegerIntervalMT;;88064;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
16;arrayAverageMN;;43735;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
17;primeMT;;59491;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
18;binaryToDecimalMN;;114331;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
19;containsSubstringMN;;93600;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
20;binarySearchMN;;73214;False;4a008c2b-73ad-4ea7-b7e2-52b204df0490
