Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;150893;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
1;validParenthesesMT;;166775;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
2;binaryToDecimalMT;;109628;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
3;arrayAverageMT;;194072;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
4;primeMT;;171457;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
5;factorialMT;;37092;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
6;leastCommonMultipleMN;;100093;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
7;squareRootMN;;183130;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
8;crossSumMT;;55225;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
9;palindromeMN;;168172;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
10;commonCharsMT;;75669;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
11;containsSubstringMT;;267191;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
12;forwardBackwardMN;;85327;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
13;bubbleSortMT;;129055;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
14;powerMT;;31889;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
15;unrolledSortMN;;67042;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
16;countIntegerIntervalMT;;114199;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
17;countLettersMN;;92706;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
18;capitalizeFirstLetterMN;;71412;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
19;linearSearchMN;;46229;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
20;binarySearchMT;;80966;False;33d8c332-6fac-4d00-a318-28ddf15f4dcb
