Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;107302;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
1;factorialLN;;124784;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
2;binaryToDecimalLN;;208140;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
3;palindromeLT;;172693;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
4;bubbleSortLT;;213915;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
5;linearSearchLT;;46992;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
6;unrolledSortLN;;59009;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
7;leastCommonMultipleLT;;52289;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
8;countLettersLT;;154601;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
9;squareRootLN;;123329;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
10;capitalizeFirstLetterLT;;214494;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
11;binarySearchLT;;265991;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
12;validParenthesesLN;;100502;False;3ff0e049-f4b9-4f84-9252-0fa6946c7646
