Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;15795;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
1;primeLT;;33892;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
2;palindromeLT;;45963;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
3;binaryToDecimalLT;;46092;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
4;bubbleSortLN;;61552;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
5;leastCommonMultipleLT;;53610;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
6;containsSubstringLT;;116304;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
7;validParenthesesLT;;50535;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
8;squareRootLT;;73825;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
9;arrayAverageLN;;58786;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
10;forwardBackwardLT;;44803;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
11;factorialLN;;16798;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
12;commonCharsLT;;74594;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
13;countIntegerIntervalLN;;83877;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
14;powerLN;;48972;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
15;capitalizeFirstLetterLN;;63803;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
16;binarySearchLN;;82814;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
17;linearSearchLT;;38588;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
18;countLettersLT;;75917;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
19;crossSumLN;;32175;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
20;unrolledSortLN;;189642;False;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
