Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;21117;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
1;binarySearchLT;;100244;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
2;linearSearchLT;;41871;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
3;validParenthesesLT;;95376;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
4;crossSumLT;;38770;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
5;arrayAverageLT;;74710;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
6;factorialLN;;13618;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
7;countIntegerIntervalLT;;102709;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
8;binaryToDecimalLT;;103469;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
9;forwardBackwardLN;;81938;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
10;palindromeLN;;102113;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
11;commonCharsLN;;13394;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
12;countLettersLT;;84934;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
13;primeLT;;22013;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
14;bubbleSortLN;;148345;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
15;leastCommonMultipleLT;;20636;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
16;squareRootLT;;30341;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
17;unrolledSortLN;;125372;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
18;containsSubstringLT;;73921;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
19;capitalizeFirstLetterLT;;115697;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
20;powerLN;;41438;False;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
