Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;26314;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
1;binarySearchMN;;84195;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
2;arrayAverageMT;;46516;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
3;containsSubstringMN;;74454;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
4;validParenthesesMT;;135418;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
5;squareRootMT;;70092;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
6;primeMN;;60182;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
7;commonCharsMN;;35758;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
8;countIntegerIntervalMT;;66148;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
9;binaryToDecimalMN;;90754;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
10;countLettersMN;;21794;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
11;linearSearchMT;;29896;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
12;factorialMN;;27710;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
13;forwardBackwardMT;;55655;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
14;leastCommonMultipleMN;;52787;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
15;unrolledSortMN;;38289;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
16;palindromeMT;;72068;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
17;capitalizeFirstLetterMT;;76211;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
18;powerMN;;36615;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
19;crossSumMN;;20230;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
20;bubbleSortMT;;60266;False;bfc145dd-8433-4e43-9dec-30ef794f1b73
