Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;9154;False;502f3f13-0117-4d94-bec1-2272053cf60f
1;containsSubstringLT;;54025;False;502f3f13-0117-4d94-bec1-2272053cf60f
2;countLettersLN;;28094;False;502f3f13-0117-4d94-bec1-2272053cf60f
3;leastCommonMultipleLT;;50028;False;502f3f13-0117-4d94-bec1-2272053cf60f
4;unrolledSortLT;;30556;False;502f3f13-0117-4d94-bec1-2272053cf60f
5;powerLT;;72302;False;502f3f13-0117-4d94-bec1-2272053cf60f
6;commonCharsLT;;37969;False;502f3f13-0117-4d94-bec1-2272053cf60f
7;squareRootLN;;53495;False;502f3f13-0117-4d94-bec1-2272053cf60f
8;capitalizeFirstLetterLT;;107335;False;502f3f13-0117-4d94-bec1-2272053cf60f
9;binarySearchLN;;92965;False;502f3f13-0117-4d94-bec1-2272053cf60f
10;forwardBackwardLN;;69901;False;502f3f13-0117-4d94-bec1-2272053cf60f
11;crossSumLT;;52609;False;502f3f13-0117-4d94-bec1-2272053cf60f
12;arrayAverageLT;;62307;False;502f3f13-0117-4d94-bec1-2272053cf60f
13;binaryToDecimalLN;;55436;False;502f3f13-0117-4d94-bec1-2272053cf60f
14;bubbleSortLT;;44516;False;502f3f13-0117-4d94-bec1-2272053cf60f
15;palindromeLT;;39054;False;502f3f13-0117-4d94-bec1-2272053cf60f
16;countIntegerIntervalLT;;80351;False;502f3f13-0117-4d94-bec1-2272053cf60f
17;factorialLN;;21070;False;502f3f13-0117-4d94-bec1-2272053cf60f
18;linearSearchLT;;15358;False;502f3f13-0117-4d94-bec1-2272053cf60f
19;primeLT;;42230;False;502f3f13-0117-4d94-bec1-2272053cf60f
20;validParenthesesLT;;47619;False;502f3f13-0117-4d94-bec1-2272053cf60f
