Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;28565;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
1;crossSumLT;;43766;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
2;capitalizeFirstLetterLT;;99005;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
3;binarySearchLN;;28252;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
4;containsSubstringLN;;60001;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
5;linearSearchLT;;60177;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
6;validParenthesesLT;;40660;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
7;leastCommonMultipleLN;;47761;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
8;binaryToDecimalLT;;56276;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
9;forwardBackwardLN;;41710;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
10;countIntegerIntervalLN;;35716;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
11;commonCharsLN;;46939;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
12;palindromeLT;;57384;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
13;squareRootLN;;48382;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
14;unrolledSortLN;;34269;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
15;countLettersLT;;55755;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
16;arrayAverageLT;;44039;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
17;factorialLN;;11995;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
18;bubbleSortLN;;38986;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
19;primeLN;;36213;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
20;powerLN;;38011;False;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
