Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;30349;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
1;unrolledSortMN;;83511;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
2;leastCommonMultipleMT;;62416;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
3;crossSumMT;;42484;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
4;binaryToDecimalMN;;111970;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
5;validParenthesesMN;;154470;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
6;primeMT;;168320;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
7;countIntegerIntervalMN;;80334;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
8;powerMN;;52003;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
9;commonCharsMN;;51629;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
10;arrayAverageMT;;76103;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
11;squareRootMN;;73991;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
12;bubbleSortMT;;66251;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
13;linearSearchMT;;23779;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
14;forwardBackwardMT;;87109;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
15;factorialMN;;20891;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
16;binarySearchMT;;123899;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
17;countLettersMN;;24275;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
18;palindromeMN;;48176;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
19;capitalizeFirstLetterMT;;167467;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
20;containsSubstringMN;;198919;False;27ef8f7c-88ac-4e91-bafb-bb231363ce10
