Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;"oefl";34814;False;0dd6451f-4676-4ebb-bd2f-195258b99139
1;containsSubstringLT;False;169047;False;0dd6451f-4676-4ebb-bd2f-195258b99139
2;primeLN;True;68007;False;0dd6451f-4676-4ebb-bd2f-195258b99139
3;binarySearchLN;1;105732;False;0dd6451f-4676-4ebb-bd2f-195258b99139
4;crossSumLN;16;22039;False;0dd6451f-4676-4ebb-bd2f-195258b99139
5;binaryToDecimalLT;13;77879;False;0dd6451f-4676-4ebb-bd2f-195258b99139
6;countIntegerIntervalLT;4;82045;False;0dd6451f-4676-4ebb-bd2f-195258b99139
7;commonCharsLT;2;37479;False;0dd6451f-4676-4ebb-bd2f-195258b99139
8;factorialLT;24;70640;False;0dd6451f-4676-4ebb-bd2f-195258b99139
9;arrayAverageLN;4.0;42512;False;0dd6451f-4676-4ebb-bd2f-195258b99139
10;forwardBackwardLT;"pricelesssselecirp";94841;False;0dd6451f-4676-4ebb-bd2f-195258b99139
11;validParenthesesLT;False;131641;False;0dd6451f-4676-4ebb-bd2f-195258b99139
12;palindromeLT;True;90131;False;0dd6451f-4676-4ebb-bd2f-195258b99139
13;capitalizeFirstLetterLT;"Hello World";76083;False;0dd6451f-4676-4ebb-bd2f-195258b99139
14;squareRootLN;[3.0, 5.0, 4.0, 10.0];106588;False;0dd6451f-4676-4ebb-bd2f-195258b99139
15;linearSearchLT;1;16421;False;0dd6451f-4676-4ebb-bd2f-195258b99139
16;powerLN;8;78912;False;0dd6451f-4676-4ebb-bd2f-195258b99139
17;leastCommonMultipleLN;30;28520;False;0dd6451f-4676-4ebb-bd2f-195258b99139
18;bubbleSortLN;[1,2,3,4,5];137017;False;0dd6451f-4676-4ebb-bd2f-195258b99139
19;unrolledSortLT;[8, 9, 11, 12];49916;False;0dd6451f-4676-4ebb-bd2f-195258b99139
20;countLettersLT;4;56099;False;0dd6451f-4676-4ebb-bd2f-195258b99139

