Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;63862;False;095c9452-3531-44ec-8ddf-5bfa886bada8
1;factorialMT;;20096;False;095c9452-3531-44ec-8ddf-5bfa886bada8
2;forwardBackwardMT;;86586;False;095c9452-3531-44ec-8ddf-5bfa886bada8
3;commonCharsMT;;24117;False;095c9452-3531-44ec-8ddf-5bfa886bada8
4;containsSubstringMT;;65676;False;095c9452-3531-44ec-8ddf-5bfa886bada8
5;countLettersMT;;36666;False;095c9452-3531-44ec-8ddf-5bfa886bada8
6;arrayAverageMT;;19046;False;095c9452-3531-44ec-8ddf-5bfa886bada8
7;primeMN;;65242;False;095c9452-3531-44ec-8ddf-5bfa886bada8
8;squareRootMN;;93638;False;095c9452-3531-44ec-8ddf-5bfa886bada8
9;capitalizeFirstLetterMT;;105697;False;095c9452-3531-44ec-8ddf-5bfa886bada8
10;powerMT;;45806;False;095c9452-3531-44ec-8ddf-5bfa886bada8
11;countIntegerIntervalMN;;75061;False;095c9452-3531-44ec-8ddf-5bfa886bada8
12;palindromeMN;;60922;False;095c9452-3531-44ec-8ddf-5bfa886bada8
13;validParenthesesMN;;83712;False;095c9452-3531-44ec-8ddf-5bfa886bada8
14;binarySearchMN;;63474;False;095c9452-3531-44ec-8ddf-5bfa886bada8
15;crossSumMN;;24190;False;095c9452-3531-44ec-8ddf-5bfa886bada8
16;linearSearchMT;;43681;False;095c9452-3531-44ec-8ddf-5bfa886bada8
17;binaryToDecimalMN;;87313;False;095c9452-3531-44ec-8ddf-5bfa886bada8
18;unrolledSortMT;;58094;False;095c9452-3531-44ec-8ddf-5bfa886bada8
19;bubbleSortMT;;81986;False;095c9452-3531-44ec-8ddf-5bfa886bada8
20;leastCommonMultipleMT;;34825;False;095c9452-3531-44ec-8ddf-5bfa886bada8
