Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;38849;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
1;countLettersLN;;46537;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
2;squareRootLN;;95379;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
3;binarySearchLT;;254107;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
4;forwardBackwardLN;;145147;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
5;leastCommonMultipleLT;;82291;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
6;commonCharsLN;;67670;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
7;linearSearchLN;;37078;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
8;binaryToDecimalLT;;85455;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
9;powerLT;;25599;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
10;capitalizeFirstLetterLT;;138676;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
11;arrayAverageLN;;99086;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
12;crossSumLT;;74279;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
13;containsSubstringLT;;90444;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
14;palindromeLT;;85219;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
15;countIntegerIntervalLN;;123144;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
16;validParenthesesLN;;102222;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
17;unrolledSortLT;;118906;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
18;bubbleSortLT;;270912;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
19;factorialLN;;47065;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
20;primeLN;;44683;False;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
