Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;39902;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
1;factorialMN;;27782;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
2;palindromeMT;;42220;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
3;bubbleSortMT;;109789;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
4;binarySearchMN;;56012;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
5;powerMT;;31208;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
6;linearSearchMT;;25921;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
7;squareRootMN;;65687;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
8;forwardBackwardMT;;63841;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
9;primeMT;;32065;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
10;leastCommonMultipleMN;;54934;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
11;commonCharsMN;;46653;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
12;unrolledSortMT;;60549;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
13;capitalizeFirstLetterMN;;43486;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
14;countIntegerIntervalMN;;41576;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
15;arrayAverageMN;;44501;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
16;countLettersMN;;26768;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
17;crossSumMN;;47478;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
18;containsSubstringMN;;52505;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
19;binaryToDecimalMT;;40817;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
20;validParenthesesMT;;81589;False;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
