Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;52454;False;77c00511-7e42-41aa-ae63-620a6eadec62
1;containsSubstringMN;;125147;False;77c00511-7e42-41aa-ae63-620a6eadec62
2;countLettersMT;;53707;False;77c00511-7e42-41aa-ae63-620a6eadec62
3;commonCharsMT;;44142;False;77c00511-7e42-41aa-ae63-620a6eadec62
4;crossSumMN;;31354;False;77c00511-7e42-41aa-ae63-620a6eadec62
5;binarySearchMT;;131974;False;77c00511-7e42-41aa-ae63-620a6eadec62
6;powerMN;;27149;False;77c00511-7e42-41aa-ae63-620a6eadec62
7;validParenthesesMN;;87400;False;77c00511-7e42-41aa-ae63-620a6eadec62
8;bubbleSortMN;;67962;False;77c00511-7e42-41aa-ae63-620a6eadec62
9;leastCommonMultipleMN;;55289;False;77c00511-7e42-41aa-ae63-620a6eadec62
10;capitalizeFirstLetterMN;;108676;False;77c00511-7e42-41aa-ae63-620a6eadec62
11;forwardBackwardMN;;101664;False;77c00511-7e42-41aa-ae63-620a6eadec62
12;factorialMT;;16313;False;77c00511-7e42-41aa-ae63-620a6eadec62
13;linearSearchMN;;27073;False;77c00511-7e42-41aa-ae63-620a6eadec62
14;countIntegerIntervalMN;;88064;False;77c00511-7e42-41aa-ae63-620a6eadec62
15;squareRootMN;;64049;False;77c00511-7e42-41aa-ae63-620a6eadec62
16;binaryToDecimalMN;;84026;False;77c00511-7e42-41aa-ae63-620a6eadec62
17;primeMT;;88243;False;77c00511-7e42-41aa-ae63-620a6eadec62
18;palindromeMT;;45570;False;77c00511-7e42-41aa-ae63-620a6eadec62
19;arrayAverageMT;;60737;False;77c00511-7e42-41aa-ae63-620a6eadec62
20;unrolledSortMN;;53058;False;77c00511-7e42-41aa-ae63-620a6eadec62
