Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;29024;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
1;validParenthesesMN;;131402;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
2;linearSearchMN;;24669;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
3;binaryToDecimalMN;;93683;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
4;countIntegerIntervalMN;;105559;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
5;palindromeMN;;77156;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
6;binarySearchMT;;61805;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
7;forwardBackwardMN;;83383;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
8;unrolledSortMN;;41817;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
9;powerMT;;31614;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
10;leastCommonMultipleMN;;65778;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
11;arrayAverageMT;;61314;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
12;commonCharsMT;;31482;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
13;countLettersMN;;66352;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
14;squareRootMT;;34640;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
15;capitalizeFirstLetterMN;;95221;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
16;primeMN;;61431;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
17;bubbleSortMT;;111019;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
18;crossSumMT;;22833;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
19;factorialMT;;23800;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
20;containsSubstringMN;;78220;False;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
