Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;39066;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
1;palindromeMT;;55137;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
2;leastCommonMultipleMN;;22231;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
3;binaryToDecimalMT;;62611;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
4;powerMN;;111249;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
5;capitalizeFirstLetterMT;;126562;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
6;countLettersMN;;63261;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
7;squareRootMT;;101655;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
8;arrayAverageMT;;57457;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
9;bubbleSortMN;;59999;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
10;linearSearchMT;;49918;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
11;commonCharsMN;;53282;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
12;countIntegerIntervalMT;;59389;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
13;forwardBackwardMT;;71190;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
14;binarySearchMT;;74570;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
15;containsSubstringMT;;194579;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
16;primeMN;;80214;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
17;factorialMN;;15939;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
18;crossSumMN;;38354;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
19;validParenthesesMT;;93628;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
20;unrolledSortMN;;78400;False;8e8af71d-3c98-4ae1-a509-69a17cf7345d
