Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;34891;False;b02b7162-9a80-42ef-95a5-e129dd405988
1;commonCharsMN;;34105;False;b02b7162-9a80-42ef-95a5-e129dd405988
2;binarySearchMT;;84888;False;b02b7162-9a80-42ef-95a5-e129dd405988
3;squareRootMT;;57096;False;b02b7162-9a80-42ef-95a5-e129dd405988
4;binaryToDecimalMT;;38794;False;b02b7162-9a80-42ef-95a5-e129dd405988
5;crossSumMN;;9905;False;b02b7162-9a80-42ef-95a5-e129dd405988
6;countIntegerIntervalMT;;49691;False;b02b7162-9a80-42ef-95a5-e129dd405988
7;validParenthesesMN;;70237;False;b02b7162-9a80-42ef-95a5-e129dd405988
8;primeMN;;39599;False;b02b7162-9a80-42ef-95a5-e129dd405988
9;countLettersMT;;57071;False;b02b7162-9a80-42ef-95a5-e129dd405988
10;palindromeMT;;45448;False;b02b7162-9a80-42ef-95a5-e129dd405988
11;arrayAverageMT;;28042;False;b02b7162-9a80-42ef-95a5-e129dd405988
12;capitalizeFirstLetterMT;;81933;False;b02b7162-9a80-42ef-95a5-e129dd405988
13;containsSubstringMT;;44980;False;b02b7162-9a80-42ef-95a5-e129dd405988
14;factorialMN;;9836;False;b02b7162-9a80-42ef-95a5-e129dd405988
15;bubbleSortMT;;44639;False;b02b7162-9a80-42ef-95a5-e129dd405988
16;leastCommonMultipleMT;;36763;False;b02b7162-9a80-42ef-95a5-e129dd405988
17;powerMT;;40517;False;b02b7162-9a80-42ef-95a5-e129dd405988
18;forwardBackwardMN;;45623;False;b02b7162-9a80-42ef-95a5-e129dd405988
19;linearSearchMN;;16840;False;b02b7162-9a80-42ef-95a5-e129dd405988
20;unrolledSortMN;;47558;False;b02b7162-9a80-42ef-95a5-e129dd405988
