Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;35999;False;100f6006-48b7-4806-9a95-445514e87be6
1;factorialMT;;19956;False;100f6006-48b7-4806-9a95-445514e87be6
2;binarySearchMN;;74604;False;100f6006-48b7-4806-9a95-445514e87be6
3;containsSubstringMT;;130634;False;100f6006-48b7-4806-9a95-445514e87be6
4;squareRootMN;;46126;False;100f6006-48b7-4806-9a95-445514e87be6
5;linearSearchMN;;16475;False;100f6006-48b7-4806-9a95-445514e87be6
6;leastCommonMultipleMT;;34702;False;100f6006-48b7-4806-9a95-445514e87be6
7;unrolledSortMT;;123064;False;100f6006-48b7-4806-9a95-445514e87be6
8;palindromeMN;;26006;False;100f6006-48b7-4806-9a95-445514e87be6
9;countIntegerIntervalMT;;80239;False;100f6006-48b7-4806-9a95-445514e87be6
10;bubbleSortMT;;35685;False;100f6006-48b7-4806-9a95-445514e87be6
11;primeMN;;40715;False;100f6006-48b7-4806-9a95-445514e87be6
12;crossSumMT;;14624;False;100f6006-48b7-4806-9a95-445514e87be6
13;countLettersMT;;14026;False;100f6006-48b7-4806-9a95-445514e87be6
14;binaryToDecimalMT;;44738;False;100f6006-48b7-4806-9a95-445514e87be6
15;forwardBackwardMN;;42664;False;100f6006-48b7-4806-9a95-445514e87be6
16;capitalizeFirstLetterMT;;65126;False;100f6006-48b7-4806-9a95-445514e87be6
17;powerMT;;37164;False;100f6006-48b7-4806-9a95-445514e87be6
18;validParenthesesMT;;94809;False;100f6006-48b7-4806-9a95-445514e87be6
19;arrayAverageMN;;30700;False;100f6006-48b7-4806-9a95-445514e87be6
20;commonCharsMN;;43088;False;100f6006-48b7-4806-9a95-445514e87be6
