Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;38026;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
1;countLettersMT;;173088;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
2;primeMN;;93780;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
3;binarySearchMN;;72373;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
4;bubbleSortMT;;86889;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
5;arrayAverageMT;;36230;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
6;containsSubstringMT;;197428;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
7;palindromeMT;;154673;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
8;unrolledSortMT;;66112;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
9;factorialMN;;19036;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
10;squareRootMN;;87317;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
11;capitalizeFirstLetterMN;;52867;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
12;validParenthesesMT;;95477;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
13;crossSumMT;;15747;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
14;leastCommonMultipleMN;;38773;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
15;forwardBackwardMT;;61967;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
16;commonCharsMT;;126153;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
17;countIntegerIntervalMT;;55300;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
18;linearSearchMT;;20210;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
19;powerMN;;19685;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
20;binaryToDecimalMT;;35294;False;32c8cfbd-69ff-4dec-8b87-abc10abf553a
