Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;39221;False;3f3cc275-e634-4885-af56-5f430a28d87a
1;bubbleSortLT;;180992;False;3f3cc275-e634-4885-af56-5f430a28d87a
2;linearSearchLN;;36378;False;3f3cc275-e634-4885-af56-5f430a28d87a
3;primeLN;;145046;False;3f3cc275-e634-4885-af56-5f430a28d87a
4;binarySearchLT;;251081;False;3f3cc275-e634-4885-af56-5f430a28d87a
5;leastCommonMultipleLN;;44017;False;3f3cc275-e634-4885-af56-5f430a28d87a
6;factorialLT;;84202;False;3f3cc275-e634-4885-af56-5f430a28d87a
7;containsSubstringLT;;127949;False;3f3cc275-e634-4885-af56-5f430a28d87a
8;powerLT;;42200;False;3f3cc275-e634-4885-af56-5f430a28d87a
9;binaryToDecimalLT;;119488;False;3f3cc275-e634-4885-af56-5f430a28d87a
10;arrayAverageLT;;96271;False;3f3cc275-e634-4885-af56-5f430a28d87a
11;forwardBackwardLT;;110261;False;3f3cc275-e634-4885-af56-5f430a28d87a
12;unrolledSortLT;;131802;False;3f3cc275-e634-4885-af56-5f430a28d87a
13;countIntegerIntervalLT;;244062;False;3f3cc275-e634-4885-af56-5f430a28d87a
14;palindromeLT;;123249;False;3f3cc275-e634-4885-af56-5f430a28d87a
15;countLettersLT;;77524;False;3f3cc275-e634-4885-af56-5f430a28d87a
16;commonCharsLN;;138847;False;3f3cc275-e634-4885-af56-5f430a28d87a
17;validParenthesesLT;;152263;False;3f3cc275-e634-4885-af56-5f430a28d87a
18;capitalizeFirstLetterLN;;179008;False;3f3cc275-e634-4885-af56-5f430a28d87a
