Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;44273;False;b167d432-eef9-4501-ad8e-f0daba01c76d
1;linearSearchMT;;27992;False;b167d432-eef9-4501-ad8e-f0daba01c76d
2;crossSumMT;;30749;False;b167d432-eef9-4501-ad8e-f0daba01c76d
3;forwardBackwardMT;;75657;False;b167d432-eef9-4501-ad8e-f0daba01c76d
4;unrolledSortMT;;53522;False;b167d432-eef9-4501-ad8e-f0daba01c76d
5;validParenthesesMN;;128261;False;b167d432-eef9-4501-ad8e-f0daba01c76d
6;squareRootMN;;49405;False;b167d432-eef9-4501-ad8e-f0daba01c76d
7;containsSubstringMN;;32435;False;b167d432-eef9-4501-ad8e-f0daba01c76d
8;bubbleSortMN;;45405;False;b167d432-eef9-4501-ad8e-f0daba01c76d
9;arrayAverageMT;;22227;False;b167d432-eef9-4501-ad8e-f0daba01c76d
10;factorialMN;;13078;False;b167d432-eef9-4501-ad8e-f0daba01c76d
11;binaryToDecimalMN;;62571;False;b167d432-eef9-4501-ad8e-f0daba01c76d
12;powerMN;;28474;False;b167d432-eef9-4501-ad8e-f0daba01c76d
13;palindromeMT;;71114;False;b167d432-eef9-4501-ad8e-f0daba01c76d
14;primeMT;;94501;False;b167d432-eef9-4501-ad8e-f0daba01c76d
15;capitalizeFirstLetterMT;;27540;False;b167d432-eef9-4501-ad8e-f0daba01c76d
16;binarySearchMT;;35177;False;b167d432-eef9-4501-ad8e-f0daba01c76d
17;countLettersMT;;28300;False;b167d432-eef9-4501-ad8e-f0daba01c76d
18;commonCharsMN;;33815;False;b167d432-eef9-4501-ad8e-f0daba01c76d
19;leastCommonMultipleMT;;22402;False;b167d432-eef9-4501-ad8e-f0daba01c76d
20;countIntegerIntervalMN;;70855;False;b167d432-eef9-4501-ad8e-f0daba01c76d
