Sequence;ID;Snippet;StartingTime;SnippetPath
0;0;WarmUp;606493234;WarmUp.jpg
1;1;commonCharsMN;606566195;commonCharsMN.jpg
2;2;binarySearchMT;606671571;binarySearchMT.jpg
3;3;squareRootMT;606806998;squareRootMT.jpg
4;4;binaryToDecimalMT;606907899;binaryToDecimalMT.jpg
5;5;crossSumMN;606994236;crossSumMN.jpg
6;6;countIntegerIntervalMT;607047607;countIntegerIntervalMT.jpg
7;7;validParenthesesMN;607126121;validParenthesesMN.jpg
8;8;primeMN;607250303;primeMN.jpg
9;9;countLettersMT;607353851;countLettersMT.jpg
10;10;palindromeMT;607457225;palindromeMT.jpg
11;11;arrayAverageMT;607538129;arrayAverageMT.jpg
12;12;capitalizeFirstLetterMT;607582834;capitalizeFirstLetterMT.jpg
13;13;containsSubstringMT;607694561;containsSubstringMT.jpg
14;14;factorialMN;607751908;factorialMN.jpg
15;15;bubbleSortMT;607795387;bubbleSortMT.jpg
16;16;leastCommonMultipleMT;607871325;leastCommonMultipleMT.jpg
17;17;powerMT;607933245;powerMT.jpg
18;18;forwardBackwardMN;608003851;forwardBackwardMN.jpg
19;19;linearSearchMN;608095562;linearSearchMN.jpg
20;20;unrolledSortMN;608127511;unrolledSortMN.jpg
