Task;Difficulty;Comment
countLetters;3;variable names were very long 
validParentheses;3;
crossSum;2;
unrolledSort;2;didn't read all the ifs because I figured it was a sorting algorithm
binaryToDecimal;1;
forwardBackward;3;confused variable names after clicking next (f+g or g+f)
containsSubstring;3;
capitalizeFirstLetter;2;
power;1;
factorial;1;
leastCommonMultiple;2;
palindrome;1;
bubbleSort;1;
prime;2;
squareRoot;2;
arrayAverage;2;
countIntegerInterval;1;
linearSearch;1;
binarySearch;2;
commonChars;2;names were too long!
