Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;32138;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
1;countLettersLT;;70546;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
2;validParenthesesLN;;103303;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
3;crossSumLN;;36154;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
4;unrolledSortLT;;69499;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
5;binaryToDecimalLT;;88346;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
6;forwardBackwardLT;;64102;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
7;containsSubstringLN;;54063;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
8;capitalizeFirstLetterLT;;94339;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
9;powerLT;;49931;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
10;factorialLN;;27030;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
11;leastCommonMultipleLN;;59844;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
12;palindromeLN;;28083;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
13;bubbleSortLT;;67117;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
14;primeLT;;47445;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
15;squareRootLT;;55816;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
16;arrayAverageLT;;43958;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
17;countIntegerIntervalLN;;57971;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
18;linearSearchLT;;14921;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
19;binarySearchLT;;70103;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
20;commonCharsLT;;45585;False;98d72292-7396-4ecb-b5ba-a647f6eedef4
