Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;8302;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
1;primeLT;;52175;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
2;forwardBackwardLN;;48478;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
3;capitalizeFirstLetterLT;;114989;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
4;crossSumLT;;60244;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
5;leastCommonMultipleLT;;47845;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
6;powerLN;;25458;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
7;validParenthesesLN;;102923;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
8;linearSearchLT;;33914;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
9;countIntegerIntervalLT;;91408;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
10;binaryToDecimalLN;;48676;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
11;containsSubstringLT;;136459;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
12;arrayAverageLN;;74987;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
13;bubbleSortLT;;89763;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
14;commonCharsLN;;32363;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
15;factorialLN;;8927;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
16;unrolledSortLN;;32612;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
17;binarySearchLT;;89054;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
18;countLettersLT;;51598;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
19;palindromeLT;;50791;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
20;squareRootLN;;74017;False;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
