arrayAverageMT;What does the programm output if you enter: print(compute([2, 4, 1, 9]))?;Select;2.0;4.0;5.0;16.0
arrayAverageMN;What does the programm output if you enter: print(compute([2, 4, 1, 9]))?;Select;2.0;4.0;5.0;16.0
arrayAverageLT;What does the programm output if you enter: print(compute([2, 4, 1, 9]))?;Select;2.0;4.0;5.0;16.0
arrayAverageLN;What does the programm output if you enter: print(compute([2, 4, 1, 9]))?;Select;2.0;4.0;5.0;16.0
binarySearchMT;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
binarySearchMN;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
binarySearchLT;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
binarySearchLN;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
binaryToDecimalMT;What does the programm output if you enter: print(compute("1101"))?;Select;0;1;10;13
binaryToDecimalMN;What does the programm output if you enter: print(compute("1101"))?;Select;0;1;10;13
binaryToDecimalLT;What does the programm output if you enter: print(compute("1101"))?;Select;0;1;10;13
binaryToDecimalLN;What does the programm output if you enter: print(compute("1101"))?;Select;0;1;10;13
bubbleSortMT;What does the programm output if you enter: print(compute([5, 3, 4, 2, 1]))?;Select;[1,2,3,4,5];[5,3,4,2,1];[1,3,2,4,5];[5,4,3,2,1]
bubbleSortMN;What does the programm output if you enter: print(compute([5, 3, 4, 2, 1]))?;Select;[1,2,3,4,5];[5,3,4,2,1];[1,3,2,4,5];[5,4,3,2,1]
bubbleSortLT;What does the programm output if you enter: print(compute([5, 3, 4, 2, 1]))?;Select;[1,2,3,4,5];[5,3,4,2,1];[1,3,2,4,5];[5,4,3,2,1]
bubbleSortLN;What does the programm output if you enter: print(compute([5, 3, 4, 2, 1]))?;Select;[1,2,3,4,5];[5,3,4,2,1];[1,3,2,4,5];[5,4,3,2,1]
capitalizeFirstLetterMT;What does the programm output if you enter: print(compute("hello world"))?;Select;"Hello World";"hello world";"Hello world";"hello World"
capitalizeFirstLetterMN;What does the programm output if you enter: print(compute("hello world"))?;Select;"Hello World";"hello world";"Hello world";"hello World"
capitalizeFirstLetterLT;What does the programm output if you enter: print(compute("hello world"))?;Select;"Hello World";"hello world";"Hello world";"hello World"
capitalizeFirstLetterLN;What does the programm output if you enter: print(compute("hello world"))?;Select;"Hello World";"hello world";"Hello world";"hello World"
commonCharsMT;What does the programm output if you enter: print(compute("Saarbruecken", "Magdeburg"))?;Select;0;1;2;3
commonCharsMN;What does the programm output if you enter: print(compute("Saarbruecken", "Magdeburg"))?;Select;0;1;2;3
commonCharsLT;What does the programm output if you enter: print(compute("Saarbruecken", "Magdeburg"))?;Select;0;1;2;3
commonCharsLN;What does the programm output if you enter: print(compute("Saarbruecken", "Magdeburg"))?;Select;0;1;2;3
containsSubstringMT;What does the programm output if you enter: print(compute("fast", "as"))?;Select;True;False;"fast";"as"
containsSubstringMN;What does the programm output if you enter: print(compute("fast", "as"))?;Select;True;False;"fast";"as"
containsSubstringLT;What does the programm output if you enter: print(compute("fast", "as"))?;Select;True;False;"fast";"as"
containsSubstringLN;What does the programm output if you enter: print(compute("fast", "as"))?;Select;True;False;"fast";"as"
countIntegerIntervalMT;What does the programm output if you enter: print(compute("3 21 4 2 55 0 13", 2, 18))?;Select;1;2;3;4
countIntegerIntervalMN;What does the programm output if you enter: print(compute("3 21 4 2 55 0 13", 2, 18))?;Select;1;2;3;4
countIntegerIntervalLT;What does the programm output if you enter: print(compute("3 21 4 2 55 0 13", 2, 18))?;Select;1;2;3;4
countIntegerIntervalLN;What does the programm output if you enter: print(compute("3 21 4 2 55 0 13", 2, 18))?;Select;1;2;3;4
countLettersMT;What does the programm output if you enter: print(compute("hello world", ["a", "o", "i", "w", "e"]))?;Select;3;4;5;6
countLettersMN;What does the programm output if you enter: print(compute("hello world", ["a", "o", "i", "w", "e"]))?;Select;3;4;5;6
countLettersLT;What does the programm output if you enter: print(compute("hello world", ["a", "o", "i", "w", "e"]))?;Select;3;4;5;6
countLettersLN;What does the programm output if you enter: print(compute("hello world", ["a", "o", "i", "w", "e"]))?;Select;3;4;5;6
crossSumMT;What does the programm output if you enter: print(compute(3247))?;Select;16;24;3247;7423
crossSumMN;What does the programm output if you enter: print(compute(3247))?;Select;16;24;3247;7423
crossSumLT;What does the programm output if you enter: print(compute(3247))?;Select;16;24;3247;7423
crossSumLN;What does the programm output if you enter: print(compute(3247))?;Select;16;24;3247;7423
everySecondCharMT;What does the programm output if you enter: print(compute("powerful"))?;Select;"oefl";"pwru";"lufrewop";"p o w e r f u l"
everySecondCharMN;What does the programm output if you enter: print(compute("powerful"))?;Select;"oefl";"pwru";"lufrewop";"p o w e r f u l"
everySecondCharLT;What does the programm output if you enter: print(compute("powerful"))?;Select;"oefl";"pwru";"lufrewop";"p o w e r f u l"
everySecondCharLN;What does the programm output if you enter: print(compute("powerful"))?;Select;"oefl";"pwru";"lufrewop";"p o w e r f u l"
factorialMT;What does the programm output if you enter: print(compute(4))?;Select;8;12;24;120
factorialMN;What does the programm output if you enter: print(compute(4))?;Select;8;12;24;120
factorialLT;What does the programm output if you enter: print(compute(4))?;Select;8;12;24;120
factorialLN;What does the programm output if you enter: print(compute(4))?;Select;8;12;24;120
fibonacciMT;What does the programm output if you enter: print(compute(5))?;Select;5;8;13;21
fibonacciMN;What does the programm output if you enter: print(compute(5))?;Select;5;8;13;21
fibonacciLT;What does the programm output if you enter: print(compute(5))?;Select;5;8;13;21
fibonacciLN;What does the programm output if you enter: print(compute(5))?;Select;5;8;13;21
forwardBackwardMT;What does the programm output if you enter: print(compute("priceless"))?;Select;"pricelesssselecirp";"priceless";"PRICELESS";""
forwardBackwardMN;What does the programm output if you enter: print(compute("priceless"))?;Select;"pricelesssselecirp";"priceless";"PRICELESS";""
forwardBackwardLT;What does the programm output if you enter: print(compute("priceless"))?;Select;"pricelesssselecirp";"priceless";"PRICELESS";""
forwardBackwardLN;What does the programm output if you enter: print(compute("priceless"))?;Select;"pricelesssselecirp";"priceless";"PRICELESS";""
greatestCommonDivisorMT;What does the programm output if you enter: print(compute(12, 18))?;Select;6;12;18;24
greatestCommonDivisorMN;What does the programm output if you enter: print(compute(12, 18))?;Select;6;12;18;24
