Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;;39687;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
1;containsSubstringLT;;141241;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
2;countLettersLN;;23998;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
3;leastCommonMultipleLT;;47257;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
4;unrolledSortLT;;83951;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
5;powerLT;;37279;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
6;commonCharsLT;;38440;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
7;squareRootLN;;54385;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
8;capitalizeFirstLetterLT;;127872;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
9;binarySearchLN;;144297;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
10;forwardBackwardLN;;48288;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
11;crossSumLT;;54259;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
12;arrayAverageLT;;62574;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
13;binaryToDecimalLN;;64691;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
14;bubbleSortLT;;67304;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
15;palindromeLT;;93945;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
16;countIntegerIntervalLT;;93037;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
17;factorialLN;;15315;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
18;linearSearchLT;;19541;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
19;primeLT;;97492;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
20;validParenthesesLT;;125628;False;0833d15e-06b0-44b1-8f93-7f08df85b0e0
