Snippet;Variation;Time;given_Answer;correct_Answer
WarmUp;;1305;[2,2];[2,2,3]
arrayAverage;MN;33288;4.0;4.0
unrolledSort;MN;66868;[8,9,11,12];[8,9,11,12]
coinChange;MN;327514;3;3
leastCommonMultiple;MT;51620;30;30
commonChars;MN;32451;2;2
countLetters;MT;68145;3;3
palindrome;MN;41535;False;True
bubbleSort;MN;98524;[1,3,2,4,5];[1,2,3,4,5]
factorial;MN;14564;24;24
containsSubstring;MN;159616;True;True
squareRoot;MN;58265;[3.0,5.0,4.0,10.0];[3.0,5.0,4.0,10.0]
countIntegerInterval;MN;62659;4;4
crossSum;MN;184082;16;16
prime;MN;61875;True;True
binarySearch;MT;46673;3;1
capitalizeFirstLetter;MN;36641;"Hello World";"Hello World"
validParentheses;MN;60509;False;False
power;MN;0;-;-
linearSearch;MT;0;-;-
forwardBackward;MN;0;-;-
