Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;1;60186;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
1;factorialLN;1;36553;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
2;countIntegerIntervalLT;1;106699;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
3;primeLN;1;54946;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
4;bubbleSortLT;1;128366;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
5;linearSearchLN;1;29960;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
6;capitalizeFirstLetterLT;1;122152;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
7;countLettersLN;1;36814;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
8;validParenthesesLN;1;48381;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
9;crossSumLT;1;27969;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
10;palindromeLT;1;40212;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
11;unrolledSortLN;1;42564;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
12;squareRootLN;1;55551;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
13;powerLT;1;54011;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
14;coinChangeLT;1;245984;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
15;arrayAverageLN;1;26706;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
16;containsSubstringLN;1;69367;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
17;binarySearchLN;1;45122;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
18;commonCharsLT;1;54359;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
19;leastCommonMultipleLT;1;64720;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc
20;forwardBackwardLT;1;85427;False;cce6e83d-4676-4df4-a5c1-1f270706a9dc

