Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;1;2495;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
1;arrayAverageLN;1;80654;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
2;containsSubstringLN;1;148925;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
3;linearSearchLN;1;22182;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
4;countIntegerIntervalLN;1;39336;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
5;factorialLT;1;25222;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
6;unrolledSortLT;1;174766;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
7;capitalizeFirstLetterLN;1;125987;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
8;crossSumLN;1;31814;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
9;binarySearchLT;1;47795;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592
10;primeLT;1;46370;False;be2bf5ed-c6da-4d5d-a77c-606689ab2592

