Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;oefl;45528;False;5de5227c-9389-4719-8e8b-72896c641322
1;containsSubstringMN;False;172100;False;5de5227c-9389-4719-8e8b-72896c641322
2;commonCharsMN;2;38097;False;5de5227c-9389-4719-8e8b-72896c641322
3;linearSearchMT;2;37007;False;5de5227c-9389-4719-8e8b-72896c641322
4;forwardBackwardMT;pricelesssselecirp;73464;False;5de5227c-9389-4719-8e8b-72896c641322
5;validParenthesesMT;False;100828;False;5de5227c-9389-4719-8e8b-72896c641322
6;countIntegerIntervalMT;4;78022;False;5de5227c-9389-4719-8e8b-72896c641322
7;countLettersMN;4;40264;False;5de5227c-9389-4719-8e8b-72896c641322
8;squareRootMT;[3.0,5.0,4.0,10.0];103707;False;5de5227c-9389-4719-8e8b-72896c641322
9;leastCommonMultipleMT;30;61057;False;5de5227c-9389-4719-8e8b-72896c641322
10;powerMT;9;53324;False;5de5227c-9389-4719-8e8b-72896c641322
11;binarySearchMT;1;220431;False;5de5227c-9389-4719-8e8b-72896c641322
12;palindromeMT;True;46859;False;5de5227c-9389-4719-8e8b-72896c641322
13;crossSumMN;16;75290;False;5de5227c-9389-4719-8e8b-72896c641322
14;factorialMN;24;68183;False;5de5227c-9389-4719-8e8b-72896c641322
15;bubbleSortMN;[1,2,3,4,5];113851;False;5de5227c-9389-4719-8e8b-72896c641322
16;arrayAverageMN;4.0;58087;False;5de5227c-9389-4719-8e8b-72896c641322
17;unrolledSortMT;[8,9,11,12];161052;False;5de5227c-9389-4719-8e8b-72896c641322
18;primeMN;True;39481;False;5de5227c-9389-4719-8e8b-72896c641322
19;capitalizeFirstLetterMT;Hello World;112448;False;5de5227c-9389-4719-8e8b-72896c641322
20;everySecondCharMT;asdf;18551;False;5de5227c-9389-4719-8e8b-72896c641322

