Participant;Expert;Snippet;NumberOfFixations;FixationsPerSecond;Linearity;HasError;HitsBlock;HitsLine;HitsType;HitsReturnType;VerticalNext;VerticalLater;Regression;HorizontalLater;LineRegression;SaccadeLength;StoryOrder_Naive_Score;StoryOrder_Dynamic_Score;StoryOrder_Dynamic_Repetitions;ExecOrder_Naive_Score;ExecOrder_Dynamic_Score;ExecOrder_Dynamic_Repetitions
ab5e5846;True;arrayAverageMT;231;5.595388043794206;5;False;1.0;0.7575757575757576;0.06926406926406926;0.0;0.08;0.09142857142857143;0.06857142857142857;0.4342857142857143;0.4;27.71272338251915;-24;-4;3;0;4;2
33d8c332;True;arrayAverageMT;795;5.695903248456015;5;False;0.9823899371069182;0.7220125786163522;0.13836477987421383;0.0012578616352201257;0.1132404181184669;0.16550522648083624;0.15505226480836237;0.3519163763066202;0.32578397212543553;26.34003961674923;-336;-75;24;-306;46;14
b02b7162;True;arrayAverageMT;91;4.1518386714116255;5;False;0.9340659340659341;0.7362637362637363;0.02197802197802198;0.0;0.11940298507462686;0.14925373134328357;0.08955223880597014;0.44776119402985076;0.29850746268656714;24.450158680374212;-1;-2;3;10;10;1
095c9452;True;arrayAverageMT;45;2.986263189329086;5;False;0.8;0.6666666666666666;0.022222222222222223;0.0;0.2;0.3333333333333333;0.2;0.3333333333333333;0.1;46.63725562284403;-1;7;2;16;16;1
03dc81fa;True;arrayAverageMT;419;6.7521835820414475;5;False;0.9809069212410502;0.7016706443914081;0.1360381861575179;0.014319809069212411;0.08843537414965986;0.1326530612244898;0.1326530612244898;0.40816326530612246;0.3231292517006803;14.86055480215635;-124;-31;10;-94;-2;6
b167d432;True;arrayAverageMT;116;8.771929824561404;5;False;0.7844827586206896;0.5086206896551724;0.008620689655172414;0.0;0.0847457627118644;0.11864406779661017;0.0847457627118644;0.4406779661016949;0.3389830508474576;38.467676171744294;0;-1;2;-2;-2;1
77c00511;True;arrayAverageMT;184;3.761473516364454;5;False;0.9891304347826086;0.8097826086956522;0.14130434782608695;0.016304347826086956;0.08053691275167785;0.12080536912751678;0.11409395973154363;0.37583892617449666;0.3825503355704698;24.099245391950955;-38;-9;3;-14;11;3
c91e49ab;True;arrayAverageMT;296;6.372306301263698;5;False;0.9459459459459459;0.6790540540540541;0.08108108108108109;0.0;0.12935323383084577;0.208955223880597;0.21393034825870647;0.3383084577114428;0.23383084577114427;29.43689903995338;-138;-25;10;-108;-9;6
bfc145dd;True;arrayAverageMT;158;4.906679916772771;5;False;0.9113924050632911;0.6835443037974683;0.08227848101265822;0.0;0.08333333333333333;0.14814814814814814;0.2037037037037037;0.39814814814814814;0.24074074074074073;35.987782463716314;-44;-20;3;-26;-12;2
32c8cfbd;True;arrayAverageMT;203;9.042719052073588;5;False;0.7635467980295566;0.5665024630541872;0.08866995073891626;0.0;0.10434782608695652;0.14782608695652175;0.12173913043478261;0.3391304347826087;0.3826086956521739;28.633683853621413;-30;11;4;-6;-1;2
27ef8f7c;True;arrayAverageMT;279;4.971666844862611;5;False;0.8960573476702509;0.5770609318996416;0.06451612903225806;0.0;0.13664596273291926;0.2236024844720497;0.20496894409937888;0.2608695652173913;0.30434782608695654;28.3759631930895;-106;-13;9;-77;18;5
